ticker,price,sma50,sma150,sma200,high_52w,low_52w,return_3m,return_6m,return_9m,return_12m,k_ratio,rs_rating,stage2,gates_passed,g1_price_above_150_200,g2_sma150_above_sma200,g3_sma200_trending_up,g4_sma50_above_150_200,g5_price_above_sma50,g6_30pct_above_52w_low,g7_within_25pct_of_52w_high,g8_rs_rating_ge_70,name,sector,country,currency,index,dist_from_high,rank_rs,rank_prox,rank_1yr,rank_k,composite,rank_overall
TX,58.0,49.7981999206543,45.07505584716797,43.322094688415525,58.0,32.63154983520508,0.2078300592898641,0.5261648808120327,0.5531626671406542,0.7669005047937862,35.62451392433981,88.5,True,8,True,True,True,True,True,True,True,True,Ternium S.A.,Industrials,US,USD,US $1bn+,0.0,0.6149553571428571,0.9375,0.6517857142857143,0.6986607142857143,0.7257254464285715,51
DHT,20.8700008392334,18.491000022888183,17.56932076772054,16.22129647731781,20.8700008392334,10.543050765991211,0.25345353257585423,0.19676136218218288,0.7159778940576185,0.8068812443462152,34.691354698894365,88.2,True,8,True,True,True,True,True,True,True,True,"DHT Holdings, Inc.",Consumer Discretionary,US,USD,US $1bn+,0.0,0.5993303571428571,0.9375,0.6785714285714286,0.6763392857142857,0.7229352678571428,52
PBT,34.18000030517578,30.3713627243042,25.526829897562664,23.591680755615233,34.75,16.406152725219727,0.2017656941819983,0.6754410544187064,0.897411740191228,0.9372262287652977,35.7812318720796,92.2,True,8,True,True,True,True,True,True,True,True,Permian Basin Royalty Trust,Energy,US,USD,US $1bn+,0.016402868915804857,0.7578125,0.6852678571428571,0.7388392857142857,0.7075892857142857,0.7223772321428571,53
NGL,17.75,16.46539999008179,14.856066716512045,13.625400042533874,18.969999313354492,5.75,0.1662286260567254,0.5434782608695652,0.8743399682679232,2.0603447269457873,45.46343597227291,95.2,True,8,True,True,True,True,True,True,True,True,NGL Energy Partners LP,Utilities,US,USD,US $1bn+,0.06431203782361962,0.8660714285714286,0.22321428571428573,0.9263392857142857,0.8660714285714286,0.7204241071428572,54
AYA,28.90999984741211,23.175800170898437,19.46453332265218,18.296949977874757,29.81999969482422,9.25,0.6866978341243155,0.6361063793201527,1.1462508741129396,1.735099402279868,29.575858699467897,96.7,True,8,True,True,True,True,True,True,True,True,Aya Gold & Silver Inc.,Basic Materials,US,USD,US $1bn+,0.030516427120220787,0.9174107142857143,0.515625,0.8995535714285714,0.5491071428571429,0.7204241071428571,55
TGT,164.44000244140625,146.99024002075194,130.47719095865887,122.19344097137451,169.88999938964844,82.83750915527344,0.341600741215879,0.36137098431189574,0.8270174369346326,0.8143272344462131,65.7207424422997,91.2,True,8,True,True,True,True,True,True,True,True,Target Corporation,Consumer Discretionary,US,USD,US $1bn+,0.03207956305740184,0.7165178571428571,0.49776785714285715,0.6808035714285714,0.9866071428571429,0.7204241071428571,56
HSBC,107.11000061035156,101.9125439453125,92.45874003092447,88.10839351654053,107.86000061035156,63.02088165283203,0.17962551773590496,0.3175035949733156,0.5377888696336821,0.7134365442363695,59.03567229806593,85.3,True,8,True,True,True,True,True,True,True,True,HSBC Holdings plc,Finance,US,USD,US $1bn+,0.006953458147190302,0.5078125,0.7991071428571429,0.6071428571428571,0.9665178571428571,0.7201450892857143,57
CVE,32.369998931884766,29.150599975585937,26.791395009358723,24.46636450767517,33.130001068115234,15.663797378540039,0.1534647129704072,0.44103807849611454,0.7977385478818166,0.987548544806442,41.325938368731585,90.5,True,8,True,True,True,True,True,True,True,True,Cenovus Energy Inc.,Energy,US,USD,US $1bn+,0.022939997335584307,0.6919642857142857,0.6116071428571429,0.7589285714285714,0.8169642857142857,0.7198660714285714,58
KNSA,77.91000366210938,71.87159996032715,56.60546666463216,52.88087495803833,80.91999816894531,35.41999816894531,0.6090459853027792,0.6878250415868943,0.9194383682982588,1.1940300575814131,37.82022974337832,95.5,True,8,True,True,True,True,True,True,True,True,"Kiniksa Pharmaceuticals International, plc",Health Care,US,USD,US $1bn+,0.03719716479171998,0.8783482142857143,0.44642857142857145,0.8058035714285714,0.7477678571428571,0.7195870535714286,59
EC,17.25,16.367000064849854,14.469470939636231,13.375287699699403,17.889999389648438,8.202611923217773,0.13861389005588975,0.40144986420888307,0.7874364159836198,1.0029570518777455,61.25105194128674,90.1,True,8,True,True,True,True,True,True,True,True,Ecopetrol S.A.,Energy,US,USD,US $1bn+,0.03577414262063954,0.6796875,0.453125,0.7611607142857143,0.9799107142857143,0.7184709821428572,60
CRNX,84.94999694824219,76.80679992675782,51.5541332244873,50.86957490921021,84.94999694824219,32.61000061035156,1.5672407542010376,1.150088599268401,0.877347998856181,1.5510510178540438,8.676925505054228,97.7,True,8,True,True,True,True,True,True,True,True,"Crinetics Pharmaceuticals, Inc.",Health Care,US,USD,US $1bn+,0.0,0.9542410714285714,0.9375,0.8794642857142857,0.09821428571428571,0.7173549107142857,61
ATI,210.64999389648438,202.41099914550782,173.89439966837566,158.49984985351563,231.77999877929688,74.87999725341797,0.18696113398071335,0.4034912321688504,1.1414047780313155,1.7300412635922067,69.50246784259461,94.6,True,8,True,True,True,True,True,True,True,True,ATI Inc.,Industrials,US,USD,US $1bn+,0.09116405640735503,0.8426339285714286,0.13392857142857142,0.8950892857142857,0.9910714285714286,0.7156808035714286,62
OII,51.400001525878906,47.33519981384277,40.01493325551351,36.52449992179871,54.11000061035156,22.200000762939453,0.3835800649987422,0.5024847384228228,0.9588415386517588,1.0826580587642667,52.94408035305539,93.8,True,8,True,True,True,True,True,True,True,True,"Oceaneering International, Inc.",Energy,US,USD,US $1bn+,0.05008314644066401,0.8125,0.34598214285714285,0.7790178571428571,0.9196428571428571,0.7142857142857143,63
ECPG,97.30000305175781,94.96850021362305,81.03023348490397,74.29702520370483,103.73999786376953,40.529998779296875,0.19445131531194026,0.37662708873294526,0.8618447412323458,1.3221956923238278,78.71078622351799,92.4,True,8,True,True,True,True,True,True,True,True,"Encore Capital Group, Inc.",Finance,US,USD,US $1bn+,0.06207822387338647,0.7645089285714286,0.25,0.8392857142857143,0.9977678571428571,0.712890625,64
WT,24.889999389648438,21.105394897460936,18.31905241012573,16.94828996181488,25.040000915527344,10.693014144897461,0.3690868521362094,0.4999969539190017,1.2359972248642976,0.8223785567692152,28.62431481428835,93.8,True,8,True,True,True,True,True,True,True,True,"WisdomTree, Inc.",Finance,US,USD,US $1bn+,0.005990476054091917,0.8125,0.8214285714285714,0.6897321428571429,0.5245535714285714,0.7120535714285714,65
